@id,socrata:rowID{Literal},rdf:type{URIRef},rdfs:member{URIRef},ds:consent_cases{Literal},ds:consent_deaths{Literal},ds:created_at{Literal},ds:new_case{Literal},ds:new_death{Literal},ds:state{Literal},ds:submission_date{Literal},ds:tot_cases{Literal},ds:tot_death{Literal},ds:conf_cases{Literal},ds:conf_death{Literal},ds:pnew_case{Literal},ds:pnew_death{Literal},ds:prob_cases{Literal},ds:prob_death{Literal}
ds:row-e8gq.efjn-7zi5,row-e8gq.efjn-7zi5,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Not agree,Not agree,2020-09-04T00:00:00,2.0,0.0,VT,2020-09-02T00:00:00,1488,57,,,0,0,,
ds:row-ekgr_wccz_4jfg,row-ekgr_wccz_4jfg,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2020-09-25T00:00:00,3850.0,67.0,CA,2020-09-25T00:00:00,822638,16661,816783.0,16661.0,74,0,5855,0
ds:row-eneb-imhz_ki5j,row-eneb-imhz_ki5j,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Not agree,Agree,2020-09-03T00:00:00,1104.0,7.0,IN,2020-09-03T00:00:00,96854,3516,,3294.0,0,1,,222
ds:row-etbc.etca_2wsy,row-etbc.etca_2wsy,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2021-06-26T14:17:39,66.0,7.0,WI,2021-06-25T00:00:00,677252,8099,612507.0,7280.0,4,0,64745,819
ds:row-eu3e.7ram.e63z,row-eu3e.7ram.e63z,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2021-09-22T14:04:47,881.0,3.0,NE,2021-09-21T00:00:00,261080,2382,261080.0,2382.0,0,0,0,0
ds:row-f659.38mx_vnar,row-f659.38mx_vnar,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2021-09-20T13:47:59,450.0,0.0,DE,2021-09-19T00:00:00,128253,1920,117969.0,1756.0,36,0,10284,164
ds:row-f7nz.rgc9_i8j7,row-f7nz.rgc9_i8j7,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Not agree,2021-04-22T13:56:30,167.0,0.0,ND,2021-04-21T00:00:00,106385,1484,98651.0,,59,0,7734,
ds:row-ffnu-a8wp.cqqh,row-ffnu-a8wp.cqqh,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2021-02-22T14:53:38,0.0,0.0,CT,2021-02-21T00:00:00,273101,7523,256139.0,6166.0,0,0,16962,1357
ds:row-fgxc-kxg4-5zjh,row-fgxc-kxg4-5zjh,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2021-02-20T00:00:00,899.0,29.0,AL,2021-02-18T00:00:00,505794,10303,392334.0,8215.0,261,9,113460,2088
ds:row-fgxr_ftgt_xkjs,row-fgxr_ftgt_xkjs,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2020-03-28T16:22:39,49.0,1.0,ID,2020-03-29T00:00:00,310,6,,,,,,
