@id,socrata:rowID{Literal},rdf:type{URIRef},rdfs:member{URIRef},ds:conf_cases{Literal},ds:conf_death{Literal},ds:consent_cases{Literal},ds:consent_deaths{Literal},ds:created_at{Literal},ds:new_case{Literal},ds:new_death{Literal},ds:pnew_case{Literal},ds:pnew_death{Literal},ds:prob_cases{Literal},ds:prob_death{Literal},ds:state{Literal},ds:submission_date{Literal},ds:tot_cases{Literal},ds:tot_death{Literal}
https://data.cdc.gov/resource/_9mfq-cb36/row-6xtj_2ebe~3bv4,row-6xtj_2ebe~3bv4,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,1409226.0,23403.0,Agree,Agree,2021-07-26T13:16:36,1297.0,4.0,0,2,0,2468,IL,2021-07-24T00:00:00,1409226,25871
https://data.cdc.gov/resource/_9mfq-cb36/row-6xzk~vij5.t4i3,row-6xzk~vij5.t4i3,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,10675.0,213.0,Agree,Agree,2020-12-01T15:26:07,468.0,23.0,108,0,1301,1,ME,2020-11-30T00:00:00,11976,214
https://data.cdc.gov/resource/_9mfq-cb36/row-7bnh.abf3~4vmq,row-7bnh.abf3~4vmq,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,,Agree,,2020-03-26T16:22:39,0.0,0.0,,,,,NV,2020-01-27T00:00:00,0,0
https://data.cdc.gov/resource/_9mfq-cb36/row-7dkc~kkd3_yqpt,row-7dkc~kkd3_yqpt,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,4392.0,Not agree,Agree,2020-10-28T00:00:00,2548.0,36.0,0,1,,248,IN,2020-10-28T00:00:00,169112,4640
https://data.cdc.gov/resource/_9mfq-cb36/row-7n6h~7xve_jm3f,row-7n6h~7xve_jm3f,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,,Agree,Agree,2020-03-26T16:22:39,20.0,0.0,,,,,ID,2020-03-24T00:00:00,71,0
https://data.cdc.gov/resource/_9mfq-cb36/row-7qtr~utzs~zevv,row-7qtr~utzs~zevv,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,42260.0,464.0,Agree,Agree,2020-10-10T13:30:17,662.0,3.0,142,1,4828,42,ID,2020-10-09T00:00:00,47088,506
https://data.cdc.gov/resource/_9mfq-cb36/row-7uaa~4eke-dnya,row-7uaa~4eke-dnya,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,197310.0,5164.0,Agree,Agree,2021-07-04T00:00:00,158.0,4.0,65,1,125344,2330,MS,2021-07-02T00:00:00,322654,7494
https://data.cdc.gov/resource/_9mfq-cb36/row-7zeq~dyyj-7chs,row-7zeq~dyyj-7chs,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,,Not agree,Not agree,2020-06-12T14:17:59,-1.0,0.0,0,0,,,GU,2020-06-11T00:00:00,182,5
https://data.cdc.gov/resource/_9mfq-cb36/row-8cp2~a35y.4thy,row-8cp2~a35y.4thy,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,198593.0,7672.0,Agree,Agree,2020-08-13T14:12:28,1645.0,15.0,0,0,1300,209,IL,2020-08-12T00:00:00,199893,7881
https://data.cdc.gov/resource/_9mfq-cb36/row-8dtv-e69a~wie3,row-8dtv-e69a~wie3,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,,N/A,N/A,2020-08-11T00:00:00,606.0,0.0,0,0,,,WA,2020-08-09T00:00:00,63200,1688
https://data.cdc.gov/resource/_9mfq-cb36/row-8tmr~rji4.n24c,row-8tmr~rji4.n24c,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,118556.0,2867.0,Agree,Agree,2020-08-29T00:00:00,1396.0,25.0,462,7,14885,396,AL,2020-08-27T00:00:00,133441,3263
https://data.cdc.gov/resource/_9mfq-cb36/row-8x6j.nurv~nard,row-8x6j.nurv~nard,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,626417.0,8670.0,Agree,Agree,2021-01-17T00:00:00,3938.0,101.0,650,22,79841,926,NC,2021-01-17T00:00:00,706258,9596
https://data.cdc.gov/resource/_9mfq-cb36/row-9784~qb2f_tpjn,row-9784~qb2f_tpjn,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,,Not agree,Not agree,2020-03-26T16:22:39,0.0,0.0,,,,,MO,2020-02-05T00:00:00,0,0
https://data.cdc.gov/resource/_9mfq-cb36/row-9dyp.y2sz~8zp6,row-9dyp.y2sz~8zp6,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,10219.0,400.0,Agree,Agree,2020-05-11T21:26:08,280.0,2.0,0,0,0,0,WI,2020-05-10T00:00:00,10219,400
https://data.cdc.gov/resource/_9mfq-cb36/row-9hne~ed4y-wfyt,row-9hne~ed4y-wfyt,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,15572.0,Not agree,Agree,2021-10-09T00:00:00,1573.0,14.0,0,2,,523,IN,2021-10-09T00:00:00,984017,16095
https://data.cdc.gov/resource/_9mfq-cb36/row-9mzv~vyxw_9igb,row-9mzv~vyxw_9igb,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,261371.0,8309.0,Agree,Agree,2020-09-14T14:01:21,1462.0,14.0,0,0,2095,232,IL,2020-09-13T00:00:00,263466,8541
https://data.cdc.gov/resource/_9mfq-cb36/row-9qxs_7qpr~j5q6,row-9qxs_7qpr~j5q6,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,,2972.0,N/A,Agree,2020-06-18T00:00:00,560.0,14.0,0,1,,130,MD,2020-06-16T00:00:00,62969,3102
https://data.cdc.gov/resource/_9mfq-cb36/row-9vgt~8kkj~9gd3,row-9vgt~8kkj~9gd3,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,42557.0,3308.0,Agree,Agree,2020-06-12T14:17:59,114.0,26.0,5,1,1904,838,CT,2020-06-11T00:00:00,44461,4146
https://data.cdc.gov/resource/_9mfq-cb36/row-a3jh~vgpk~264v,row-a3jh~vgpk~264v,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,121409.0,3603.0,Agree,Agree,2020-11-27T00:00:00,1433.0,27.0,755,10,29214,643,MS,2020-11-25T00:00:00,150623,4246
https://data.cdc.gov/resource/_9mfq-cb36/row-a424~zmm7.943x,row-a424~zmm7.943x,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,704491.0,10023.0,Agree,Agree,2021-02-05T00:00:00,4238.0,68.0,898,7,99026,1254,NC,2021-02-05T00:00:00,803517,11277
